inicio;varinicio;varfim;PT_V;id;inteiro;real;lit;leia;escreva;Literal;Num;RCB;OPM;se;AB_P;FC_P;entao;OPR;fimse;fim;$
S2;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0;e0
e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;e18;accept
e1;S4;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1;e1
e12;e12;e12;e12;S35;e12;e12;e12;S26;S29;e12;e12;e12;e12;S53;e12;e12;e12;e12;e12;S25;e12
e7;e7;S16;e7;S19;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7
e9;e9;e9;e9;S35;e9;e9;e9;S26;S29;e9;e9;e9;e9;S53;e9;e9;e9;e9;e9;S25;e9
e9;e9;e9;e9;S35;e9;e9;e9;S26;S29;e9;e9;e9;e9;S53;e9;e9;e9;e9;e9;S25;e9
e9;e9;e9;e9;R3;e9;e9;e9;R3;R3;e9;e9;e9;e9;R3;e9;e9;e9;e9;e9;R3;e9
e9;e9;e9;e9;R4;e9;e9;e9;R4;R4;e9;e9;e9;e9;R4;e9;e9;e9;e9;e9;R4;e9
e9;e9;e9;e9;R24;e9;e9;e9;R24;R24;e9;e9;e9;e9;R24;e9;e9;e9;e9;R24;e9;e9
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;S58;e8;e8;e8;e8;e8
e8;e8;e8;e8;S35;e8;e8;e8;S26;S29;e8;e8;e8;e8;S53;e8;e8;e8;e8;e8;S25;e8
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;R2
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;R16
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;R10
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;R22
e2;e2;e2;S17;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2
e8;e8;e8;e8;R5;e8;e8;e8;R5;R5;e8;e8;e8;e8;R5;e8;e8;e8;e8;e8;R5;e7
e8;e8;S16;e8;S19;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8
e3;e3;e3;e3;e6;S20;S23;S24;e3;e3;e3;e3;e3;e3;e3;e3;e3;e3;e3;e3;e3;e3
e2;e2;e2;R7;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2
e8;e8;e8;S22;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8
e7;e7;R6;e7;R6;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7;e7
e6;e6;e6;R8;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6
e6;e6;e6;R9;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6;e6
e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;R30
e12;e12;e12;e12;S27;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12
e8;e8;e8;S28;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8
e8;e8;e8;e8;R11;e8;e8;e8;R11;R11;e8;e8;e8;e8;R11;e8;e8;e8;e8;R11;R11;e8
e8;e8;e8;e8;S34;e8;e8;e8;e8;e8;S32;S33;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8
e8;e8;e8;S31;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8;e8
e7;e7;e7;e7;R12;e7;e7;e7;R12;R12;e7;e7;e7;e7;R12;e7;e7;e7;e7;R12;R12;e7
e2;e2;e2;R13;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2;e2
e12;e12;e12;R14;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12
e12;e12;e12;R15;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12
e17;e17;e17;e17;e17;e17;e17;e17;e17;e17;e17;e17;S36;e17;e17;e17;e17;e17;e17;e17;e17;e17
e12;e12;e12;e12;S40;e12;e12;e12;e12;e12;e12;S41;e12;e12;e12;e12;e12;e12;e12;e12;e12;e12
e13;e13;e13;R19;e13;e13;e13;e13;e13;e13;e13;e13;e13;S38;e13;e13;e13;e13;e13;e13;e13;e13
e13;e13;e13;e13;S40;e13;e13;e13;e13;e13;e13;S41;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13
e13;e13;e13;R18;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13
e12;e12;e12;R20;e15;e15;e15;e15;e15;e15;e15;e15;e15;R20;e12;e12;R20;e12;R20;e12;e12;e12
e11;e11;e11;R21;e11;e11;e11;e11;e11;e11;e11;e11;e11;R21;e11;e11;R21;e11;R21;e11;e11;e11
e13;e13;e13;S43;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13;e13
e8;e8;e8;e8;R17;e8;e8;e8;R17;R17;e8;e8;e8;e8;R17;e8;e8;e8;e8;R17;R17;e8
e8;e8;e8;e8;S35;e8;e8;e8;S26;S29;e8;e8;e8;e8;S53;e8;e8;e8;e8;S48;e8;e8
e8;e8;e8;e8;S35;e8;e8;e8;S26;S29;e8;e8;e8;e8;S53;e8;e8;e8;e8;S48;e8;e8
e8;e8;e8;e8;S35;e8;e8;e8;S26;S29;e8;e8;e8;e8;S53;e8;e8;e8;e8;S48;e8;e8
e8;e8;e8;e8;S35;e8;e8;e8;S26;S29;e8;e8;e8;e8;S53;e8;e8;e8;e8;S48;e8;e8
e8;e8;e8;e8;R29;e8;e8;e8;R29;R29;e8;e8;e8;e8;R29;e8;e8;e8;e8;R29;R29;e8
e8;e8;e8;e8;R23;e8;e8;e8;R23;R23;e8;e8;e8;e8;R23;e8;e8;e8;e8;R23;R23;e8
e8;e8;e8;e8;R28;e8;e8;e8;R28;R28;e8;e8;e8;e8;R28;e8;e8;e8;e8;R28;R28;e8
e8;e8;e8;e8;R27;e8;e8;e8;R27;R27;e8;e8;e8;e8;R27;e8;e8;e8;e8;R27;R27;e8
e8;e8;e8;e8;R26;e8;e8;e8;R26;R26;e8;e8;e8;e8;R26;e8;e8;e8;e8;R26;R26;e8
e8;e8;e8;e8;e9;e8;e8;e8;e9;e9;e8;e8;e8;e8;e9;S54;e9;e9;e9;e9;e9;e8
e14;e14;e14;e14;S40;e14;e14;e14;e14;e14;e14;S41;e14;e14;e14;e14;e14;e14;e14;e14;e14;e14
e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;e16;S56;e16;e16;e16
e14;e14;e14;e14;S40;e14;e14;e14;e14;e14;e14;S41;e14;e14;e14;e14;e14;e14;e14;e14;e14;e14
e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;e10;R25;e10;e10;e10;e10;e10
e5;e5;e5;e9;e5;e5;e5;e5;e5;e5;e5;e5;e5;e5;e5;e5;e5;S9;e5;e5;e5;e5
